Track #,FIFO Delay,SSTF Delay,C-SCAN Delay
0,0,87,87,
66,0,19,11,
62,0,13,7,
30,0,59,47,
16,0,67,39,
67,0,17,8,
50,0,0,0,
7,0,73,31,
64,0,8,2,
74,0,20,8,
36,0,46,44,
66,0,9,1,
85,0,30,13,
7,0,67,25,
84,0,27,10,
33,0,44,38,
27,0,47,33,
4,0,65,20,
83,0,21,5,
87,0,25,7,
78,0,14,0,
67,0,1,0,
7,0,58,16,
33,0,36,30,
92,0,24,6,
53,0,0,0,
7,0,54,12,
77,0,5,0,
25,0,39,19,
96,0,23,3,
88,0,15,0,
77,0,1,0,
14,0,40,10,
50,0,0,0,
8,0,42,5,
83,0,4,0,
69,0,0,0,
10,0,38,3,
42,0,0,19,
33,0,20,14,
84,0,1,0,
79,0,0,0,
51,0,0,0,
70,0,0,0,
38,0,10,12,
87,0,0,0,
55,0,0,0,
65,0,0,0,
91,0,0,0,
38,0,5,7,
4,0,32,0,
69,0,0,0,
57,0,0,0,
11,0,20,0,
3,0,29,0,
1,0,30,0,
17,0,14,0,
62,0,0,0,
31,0,3,0,
94,0,0,0,
10,0,15,0,
19,0,8,0,
72,0,0,0,
25,0,4,0,
21,0,4,0,
32,0,0,0,
60,0,0,0,
90,0,0,0,
94,0,0,0,
2,0,15,0,
75,0,0,0,
78,0,0,0,
81,0,0,0,
26,0,0,0,
0,0,13,13,
72,0,0,0,
65,0,0,0,
55,0,0,0,
37,0,0,0,
56,0,0,0,
45,0,0,0,
94,0,0,0,
26,0,0,0,
54,0,0,0,
57,0,0,0,
81,0,0,0,
56,0,0,0,
74,0,0,0,
